GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ciudadfuturista,ar.edu.unahur.Ciudades,CiudadFuturista,0,21,0,0,0,8,0,5,0,5
ciudadfuturista,ar.edu.unahur.Sensores,Sensor,3,47,0,4,1,9,1,7,1,5
ciudadfuturista,ar.edu.unahur.Drones,DronSeguridad,0,16,0,2,0,3,0,3,0,2
ciudadfuturista,ar.edu.unahur.Drones,DronComercial,0,16,0,0,0,4,0,3,0,3
ciudadfuturista,ar.edu.unahur.Drones,Dron,7,68,0,4,3,15,2,9,2,7
ciudadfuturista,ar.edu.unahur.Misiones,MisionExploracion,2,17,0,2,1,4,1,4,1,3
ciudadfuturista,ar.edu.unahur.Misiones,MisionVigilancia,0,37,0,0,0,6,0,5,0,5
ciudadfuturista,ar.edu.unahur.Misiones,MisionTransporte,2,16,0,2,1,4,1,4,1,3
ciudadfuturista,ar.edu.unahur.Misiones,Mision,0,3,0,0,0,1,0,1,0,1
ciudadfuturista,ar.edu.unahur.Zonas,Zona,8,25,0,0,4,8,2,4,2,4
ciudadfuturista,ar.edu.unahur.Escuadron,Escuadron,0,85,0,8,0,15,0,14,0,10
